Data,Valor_Real,Valor_Previsto,Valor_Previsto_SMA
2024-03-12,-1.3960721,-1.3274382,-1.3625390529632568
2024-03-12,-1.3640333,-1.284782,-1.325231949488322
2024-03-12,-1.296752,-1.2441188,-1.2854463656743367
2024-03-12,-1.2615094,-1.2011507,-1.2433505058288574
2024-03-12,-1.2294707,-1.1646559,-1.2033084630966187
2024-03-12,-1.1333544,-1.119084,-1.1616301933924358
2024-03-12,-1.0981119,-1.0757897,-1.1198432048161824
2024-03-12,-1.0308305,-1.0319375,-1.075603723526001
2024-03-12,-0.99879175,-0.9765334,-1.0280868609746296
2024-03-12,-0.966753,-0.92343926,-0.9773033857345581
2024-03-12,-0.93471426,-0.8828138,-0.9275954961776733
2024-03-12,-0.8994717,-0.83464134,-0.8802981376647949
2024-03-12,-0.79054,-0.7876991,-0.835051417350769
2024-03-12,-0.6303463,-0.7033975,-0.7752459843953451
2024-03-12,-0.59830755,-0.59508467,-0.6953937609990438
2024-03-12,-0.4317061,-0.4731308,-0.5905376573403677
2024-03-12,-0.39966735,-0.37115595,-0.47979046901067096
2024-03-12,-0.3676286,-0.30005163,-0.38144612312316895
2024-03-12,-0.33238602,-0.23389022,-0.3016992658376694
2024-03-12,-0.10491096,-0.14836448,-0.22743544479211172
2024-03-12,-0.06966835,-0.032877095,-0.1383772666255633
2024-03-12,0.0008168728,0.052154258,-0.04302910715341568
2024-03-12,0.03285561,0.1500589,0.05644535273313522
2024-03-12,0.068098225,0.19393256,0.13204857210318247
2024-03-12,0.1321757,0.24098203,0.19499116142590842
2024-03-12,0.16421443,0.28444695,0.23978718121846518
2024-03-12,0.33081588,0.33118042,0.2855364680290222
2024-03-12,0.36285463,0.406679,0.34076879421869916
2024-03-12,0.39809722,0.4704837,0.40278103947639465
2024-03-12,0.49741733,0.5309911,0.4693845907847087
2024-03-12,0.53265995,0.5769478,0.5261408587296804
2024-03-12,0.63198,0.6179503,0.5752964019775391
2024-03-12,0.6672226,0.6660087,0.6203022797902426
2024-03-12,0.7313001,0.7011682,0.6617090702056885
2024-03-12,0.8626589,0.7386055,0.7019274632136027
2024-03-12,0.89790154,0.7849003,0.7415579954783121
2024-03-12,0.9299403,0.8308699,0.784791906674703
2024-03-12,0.9651829,0.86745346,0.8277412255605062
2024-03-12,-2.1714096,-2.0858347,-0.12917045752207437
2024-03-12,-2.139371,-1.965228,-1.0612030824025471
2024-03-12,-2.107332,-1.8901492,-1.980403979619344
2024-03-12,-2.008012,-1.8196639,-1.891680359840393
2024-03-12,-1.9727694,-1.7769847,-1.8289326032002766
2024-03-12,-1.9407307,-1.7503617,-1.7823367516199748
2024-03-12,-1.8734493,-1.7110692,-1.7461385329564412
2024-03-12,-1.7741293,-1.6657406,-1.7090571721394856
2024-03-12,-1.7420905,-1.6218561,-1.6662219762802124
2024-03-12,-1.7068479,-1.581729,-1.6231085856755574
2024-03-12,-1.6748091,-1.5412005,-1.5815952221552532
2024-03-12,-1.6395665,-1.5122631,-1.5450642108917236
2024-03-12,-1.6075277,-1.4801384,-1.5112006664276123
2024-03-12,-1.5402465,-1.4441421,-1.478847861289978
2024-03-12,-1.2070435,-1.3605124,-1.4282643000284831
2024-03-12,-1.171801,-1.2255812,-1.343411882718404
2024-03-12,-0.87704456,-1.0723047,-1.2194660902023315
2024-03-12,-0.84180194,-0.92179394,-1.0732266108194988
2024-03-12,-0.60791916,-0.76329184,-0.9191301663716634
2024-03-12,-0.5758804,-0.5912051,-0.7587636311848959
2024-03-12,-0.50859904,-0.49115467,-0.6152172088623047
2024-03-12,-0.47335646,-0.39731246,-0.4932240843772888
2024-03-12,-0.17539619,-0.29482132,-0.3944294850031535
2024-03-12,0.25712678,-0.018811986,-0.23698192338148752
2024-03-12,0.2923694,0.17264286,-0.046996816992759705
2024-03-12,-1.7452943,-1.7847997,-0.5436562746763229
2024-03-12,-1.6459743,-1.4953977,-1.0358515083789825
2024-03-12,-1.0788887,-1.4095587,-1.5632520119349163
2024-03-12,-1.0468498,-1.1837939,-1.3629167477289836
2024-03-12,-0.74568576,-1.0008893,-1.1980806191762288
2024-03-12,-0.68160826,-0.78683484,-0.9905060132344564
2024-03-12,-0.21384268,-0.5162451,-0.7679897546768188
2024-03-12,-0.14656132,-0.21347554,-0.5055185010035833
2024-03-12,-0.114522584,-0.11139621,-0.28037229180336
